127.0.0.1 - - [14/Oct/2020:12:34:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:22 +0530] "GET /OnlineResultsystem/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:25 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:25 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:29 +0530] "GET /OnlineResultsystem/LoginCtl HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:32 +0530] "POST /OnlineResultsystem/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:32 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:35 +0530] "GET /OnlineResultsystem/LoginCtl?operation=LogOut HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:36 +0530] "GET /OnlineResultsystem/LoginCtl HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:34:37 +0530] "GET /OnlineResultsystem/LoginCtl HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:49:21 +0530] "GET /OnlineResultsystem/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:49:23 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:49:26 +0530] "GET /OnlineResultsystem/LoginCtl HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:49:28 +0530] "POST /OnlineResultsystem/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:49:28 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:50:17 +0530] "POST /OnlineResultsystem/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:50:17 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:51:39 +0530] "GET /OnlineResultsystem/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:51:41 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:51:46 +0530] "GET /OnlineResultsystem/LoginCtl?operation=LogOut HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:51:50 +0530] "POST /OnlineResultsystem/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:51:50 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:52:13 +0530] "GET /OnlineResultsystem/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:52:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:52:15 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:52:17 +0530] "GET /OnlineResultsystem/LoginCtl HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:52:19 +0530] "POST /OnlineResultsystem/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:12:52:19 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:12 +0530] "GET /OnlineResultsystem/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:14 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:16 +0530] "GET /OnlineResultsystem/LoginCtl HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:18 +0530] "POST /OnlineResultsystem/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:18 +0530] "GET /OnlineResultsystem/WelcomeCtl HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [14/Oct/2020:13:15:20 +0530] "GET /OnlineResultsystem/LoginCtl?operation=LogOut HTTP/1.1" 200 2953
